Data File Name,Scale Name,Column Name,Reverse,Transform,Min,Max,Well-bring,Ill-being,Social connectedness
FPS T1 Online,SVC,SVC_36_2,0,0,0,1,1,0,0
FPS T1 Online,SVC,SVC_37_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_38_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_39_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_40_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_41_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_42_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_43_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_44_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_45_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_46_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_47_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_48_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_49_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_50_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_51_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_52_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_53_2,0,0,0,1,0,1,0
FPS T1 Online,SVC,SVC_54_2,0,0,0,1,0,1,0
